FI	GSDS	f7c8823#e03464339864b94d1723f9f35	http	wwwd3.ymparisto.fi	80	/d3/gis_data/gml/PS_Natura2000_3035.gml
FI	GSDS	62e325c0690e4d5a8bbdc627e1252f54	http	wwwd3.ymparisto.fi	80	/d3/gis_data/spesific/natura.zip
FI	GSDS	41d0c82198834ab2b2652b481781b2dc	http	geoserver.ymparisto.fi	80	/geoserver/wfs?service=WFS&version=2.0.0&request=getfeature&storedqueryid=http://inspire.ec.europa.eu/operation/download/getspatialdataset/&DataSetIdCode=http://paikkatiedot.fi/so/1%20002201/ps/ProtectedSite/&CRS=http://www.opengis.net/def/crs/EPSG/0/3035
LV	GSDM	6493876fb37340cdbbd32a5c50ccb3c4	http	proxygds.viss.gov.lv	80	/arcgis/rest/services/Predefined/ProtectedSitesInspireFeatDownServiceSiteProtClassLayers/MapServer/exts/InspireFeatureDownload/service?service=wfs&version=2.0.0&request=getcapabilities
LV	GSDS	84013a8d2914478c8ddb4b42cca67a5d	http	proxygds.viss.gov.lv	80	/arcgis/rest/services/Predefined/ProtectedSitesInspireFeatDownServiceSiteProtClassLayers/MapServer/exts/InspireFeatureDownload/service?service=wfs&version=2.0.0&request=getFeature&typeNames=protSite:psSiteS
LV	GSDS	e92eb4d518c4480ea4c1e948313a05a6	http	proxygds.viss.gov.lv	80	/arcgis/rest/services/Predefined/ProtectedSitesInspireFeatDownServiceSiteProtClassLayers/MapServer/exts/InspireFeatureDownload/service?service=wfs&version=2.0.0&count=5000&request=getFeature&typeNames=protSite:psSiteS&srsName=urn:ogc:def:crs:EPSG::3035
LU	GSDS	ecd7265f5f7f4528b12122e2a8be006b	https	download.data.public.lu	443	/resources/inspire-annex-i-theme-protected-sites-natura-2000-zpa-special-protection-areas-for-birds-birds-directive-2/20180223-091930/PS.ProtectedSitesNatureConservation-Birds.gml.zip
LU	GSDS	7b9da6b656ab4a35aa0b1356166b5511	https	download.data.public.lu	443	/resources/inspire-annex-i-theme-protected-sites-natura-2000-zac-special-areas-of-conservation-habitats-directive-1/20180223-091925/PS.ProtectedSitesNatureConservation-Habitats.gml.zip
LU	GSDS	c4fc83d552e04e6cbbf8bb3f11316034	https	download.data.public.lu	443	/resources/natura-2000-zpa-special-protection-areas-for-birds-birds-directive/20170718-224609/mddi_natura2000_habitats.geojson
LU	GSDS	1db5e6fe8100403db04711178ff31772	https	download.data.public.lu	443	/resources/natura-2000-zac-special-areas-of-conservation-habitats-directive/20170718-224546/mddi_natura2000_oiseaux.geojson
MT	GSDM	ab82489448984ecf842a0b13114148f6	https	msdi.data.gov.mt	443	/deegree/services/hb_HabitatNatura2000Biotope?service=WFS&version=2.0.0&request=GetCapabilities
MT	GSDS	2ba6cdce029c40d38cefe8e66ac424e3	https	msdi.data.gov.mt	443	/deegree/services/hb_HabitatNatura2000Biotope?service=WFS&version=2.0.0&request=GetFeature&Typenames=hb:Habitat
MT	GSDM	a89629a342444ca3a005a43604f3ebab	https	msdi.data.gov.mt	443	/deegree/services/ps_Natura2000SPA?service=WFS&version=2.0.0&request=GetCapabilities
MT	GSDS	ecee6e90057a42ccb6edf3d08cfe37a8	https	msdi.data.gov.mt	443	/deegree/services/ps_Natura2000SPA?request=GetFeature&Language=eng&CRS=http://www.opengis.net/def/crs/EPSG/0/3045&DataSetIdNamespace=https://era.org.mt/&service=WFS&count=10&STOREDQUERY_ID=http://inspire.ec.europa.eu/operation/download/GetSpatialDataSet&version=2.0.0&DataSetIdCode=N2000_MT_SPAs
MT	GSDS	0fcefb0663e84bda81c8f8a76446096a	https	msdi.data.gov.mt	443	/deegree/services/ps_Natura2000SPA?service=WFS&version=2.0.0&request=getFeature&typeNames=ps:ProtectedSite
MT	GSDM	de4f459668764fb89dbe4e95aeb0641c	https	msdi.data.gov.mt	443	/deegree/services/ps_Natura2000SPASCI?service=WFS&version=2.0.0&request=GetCapabilities
MT	GSDS	fd3b7cf25ad846be930cf38c83c626f6	https	msdi.data.gov.mt	443	/deegree/services/ps_Natura2000SPASCI?service=WFS&version=2.0.0&request=GetFeature&TypeNames=ps:ProtectedSite
MT	GSDM	600fe42b36f04e8da4a89fcfb8e6e373	https	msdi.data.gov.mt	443	/deegree/services/ps_Natura2000SCI?service=WFS&version=2.0.0&request=GetCapabilities
MT	GSDS	c4cc30a50cfd490f8ac151683965e66c	https	msdi.data.gov.mt	443	/deegree/services/ps_Natura2000SCI?service=WFS&version=2.0.0&request=GetFeature&TypeNames=ps:ProtectedSite
MT	GSDS	8690d8b1039b4c58834defb12f09cb7f	https	msdi.data.gov.mt	443	/data/PS.ProtectedSitesNatura2000.SPA.gml
MT	GSDS	7ccadfbd84bf4919b29f1effb62784e3	https	msdi.data.gov.mt	443	/data/PS.ProtectedSitesNatura2000.SPASCI.gml
MT	GSDS	6536af2e0f9747dd9c2827e5e8b9a5db	https	msdi.data.gov.mt	443	/data/PS.ProtectedSitesNatura2000.SCI.gml
NL	GSDM	991ec7eb8cc940ad8c9135586f50b48b	https	geodata.nationaalgeoregister.nl	443	/natura2000/wfs?service=wfs&version=2.0.0&request=GetCapabilities
NL	GSDS	fea30a48f39f4ca8a4e5e7927eaffd68	https	geodata.nationaalgeoregister.nl	443	/natura2000/wfs?request=getfeature&typenames=natura2000:natura2000&srsName=urn:ogc:def:crs:EPSG::3035
NL	DSDS	d414796fb52e4f1f9e9567b4aa6725d9	https	geodata.nationaalgeoregister.nl	443	/natura2000/atom/natura2000.xml
NL	GSDS	7901baa764ab4f7aa972d89adaad66bf	http	geodata.nationaalgeoregister.nl	80	/natura2000/extract/natura2000.zip
PT	GSDM	04bf3e2582114175b4e14886e5ff74b5	http	wssig3.azores.gov.pt	80	/geoserver/ps/wfs?service=wfs&version=2.0.0&request=GetCapabilities
PT	GSDS	3d8728bc0a12421dbe16897e1eea5081	http	wssig3.azores.gov.pt	80	/geoserver/ps/wfs?service=wfs&version=2.0.0&request=GetFeature&typeNames=ps:ProtectedSite&srsName=urn:ogc:def:crs:EPSG::4258
RO	GSDM	5c67a85aa5374bc083081b57c5cc0242	http	gmlid.eu	80	/RO/ENV/PADS/WFS/wfs?request=GetCapabilities&service=WFS&version=2.0.0
RO	GSDS	386dbb209fbf420f991f71b6b153b321	http	gmlid.eu	80	/RO/ENV/PADS/WFS/wfs?request=GetFeature&service=WFS&version=2.0.0&typenames=ps:ProtectedSite&count=1000&startindex=966
RO	GSDS	a3ab9f6073b34033ac03371733bd172c	http	gmlid.eu	80	/RO/ENV/PADS/WFS/wfs?request=GetFeature&service=WFS&version=2.0.0&storedqueryID=urn:ogc:def:query:OGC-WFS::GetFeatureById&ID=RO.ENV.PADS.PS.ROSCI0135
RO	GSDS	7ef949a91deb4802b056a8578c305f30	http	gmlid.eu	80	/RO/ENV/PADS/PS/ROSCI0135
ES	GDSM	735b870f43314bc4b7fe84af7399a520	https	www.mapama.gob.es	443	/ide/inspire/atom/CategBiodiversidad/downloadservice.xml
ES	DSDS	d852c8b96e004e17ad48cc2458da6071	http	www.mapama.gob.es	80	/ide/inspire/atom/CategBiodiversidad/RedNatura2000RN2000.xml
SE	GSDM	dd72a18a5ba243c3845ea17f325729b8	https	gis-services.metria.se	443	/arcgis/rest/services/nv/InspireNV_WFS_N2K/MapServer/exts/InspireFeatureDownload/service?service=wfs&version=2.0.0&request=GetCapabilities
SE	GSDS	0505cbdf0ec34c4fa1605b6a88adf780	https	gis-services.metria.se	443	/arcgis/rest/services/nv/InspireNV_WFS_N2K/MapServer/exts/InspireFeatureDownload/service?service=wfs&version=2.0.0&srsName=urn:ogc:def:crs:EPSG::3035&request=GetFeature&TypeNames=ps-f:ProtectedSite
SE	GSDS	edc4c03780fb4de2a318fe65d6af45ba	http	gpt.vic-metria.nu	80	/data/land/SPA_Rikstackande.zip
SE	GSDS	1bbfb1f543d342028f0936576c82dd9a	http	gpt.vic-metria.nu	80	/data/land/SCI_Rikstackande.zip
